platform,followers,following,posts,account_age_days,bio_length,profile_pic,verified,external_links,activity_rate,is_fake
linkedin,27046,9450,295,1931,92,0,0,7,3.37,1
x,17408,9080,8408,2738,108,0,0,1,4.99,1
linkedin,46310,1946,497,3516,105,1,0,5,4.08,0
other,20096,9542,4171,1087,122,1,0,0,5.23,1
x,27280,8968,627,1226,262,0,0,0,0.57,0
facebook,76230,5441,459,2463,114,1,0,7,4.46,1
instagram,90666,91,2211,2852,142,1,0,5,4,0
instagram,21971,2258,660,839,236,0,0,4,1.07,0
linkedin,16818,8127,457,2138,174,1,0,3,2.27,0
facebook,77810,315,3961,3457,81,0,0,6,1.64,0
tiktok,9964,5129,592,93,212,0,0,6,0.55,0
facebook,30857,433,2352,3779,210,0,0,3,0.9,0
other,96129,1644,519,1534,158,1,0,6,4.16,0
instagram,4311,9982,4106,4,198,0,0,2,5.58,1
tiktok,31481,2702,2987,1280,195,0,0,6,3.33,0
tiktok,74233,5852,2924,43,65,0,0,8,0.89,1
tiktok,3851,8788,301,345,287,1,0,0,4.44,0
telegram,4521,0,4744,2889,36,1,0,3,0.65,0
other,59184,6157,1324,3422,188,0,0,4,3.13,0
tiktok,60155,1074,1963,1963,13,1,0,6,2.57,0
facebook,14325,3584,4492,2918,29,1,0,6,1.51,0
instagram,61501,3255,4887,1959,94,0,0,8,4.67,1
telegram,7523,0,2896,2510,185,1,0,4,0.99,0
tiktok,9967,4049,1063,1643,138,0,0,9,2.31,1
facebook,68607,9179,3930,2626,283,0,0,8,2.75,1
tiktok,35825,4858,643,719,134,1,0,1,0.8,0
telegram,43315,0,4996,3792,95,1,1,0,5.7,1
tiktok,88377,2226,1266,1611,222,0,1,7,1.09,1
linkedin,2283,3264,497,2037,255,1,0,2,1.56,0
instagram,41576,4852,3365,2154,252,0,0,6,3.11,0
telegram,31695,0,968,95,172,0,0,9,0.88,1
facebook,7504,2724,2933,3011,62,1,0,2,5.36,1
linkedin,28596,6659,742,272,277,0,0,4,0.13,0
linkedin,46486,6548,655,1725,226,0,0,3,2.13,0
tiktok,45771,8928,2928,1167,117,1,0,2,3.21,0
facebook,1600,2060,3745,2930,179,1,0,7,0.4,1
tiktok,9638,5546,2180,3444,81,0,0,9,4.99,1
telegram,53031,0,1524,3165,99,1,0,2,2.81,0
other,52635,5011,1961,1285,141,1,0,1,3.07,0
tiktok,81678,1168,1490,3567,129,0,0,6,4.25,0
linkedin,30437,9217,315,152,172,0,0,9,2.05,1
other,52799,2862,3907,1462,144,1,0,3,2.62,0
telegram,4112,0,1819,2819,286,1,0,2,1.66,0
telegram,59846,0,2783,222,10,1,0,4,3.03,0
telegram,26567,0,957,2404,191,1,0,7,1.12,1
instagram,57124,2112,4129,1743,277,0,0,3,1.89,0
tiktok,69959,19,2417,3410,92,1,0,0,1.99,0
instagram,85151,3366,268,3999,171,1,1,6,4.43,0
facebook,30543,5792,3051,2166,227,0,1,7,1.56,1
linkedin,11204,9081,734,2928,84,1,0,3,4.87,1
tiktok,46629,9115,2458,2196,160,0,0,2,2.67,0
tiktok,11109,8626,793,1566,105,1,0,6,3.74,0
other,79305,599,4339,2775,270,0,0,4,0.94,0
instagram,51559,5447,3541,3938,243,0,0,1,5.81,1
linkedin,14502,7562,635,475,73,1,0,2,3.55,0
telegram,83127,0,2859,3358,182,1,0,9,5.29,1
linkedin,14799,435,394,2007,234,1,0,6,4.88,1
tiktok,46099,6586,2273,2359,256,1,0,5,4.91,1
facebook,32646,9071,3177,3034,131,1,0,5,3.13,0
instagram,8493,1372,2576,2036,15,0,0,7,1.32,1
x,97008,2529,5824,259,230,1,1,0,3.11,0
facebook,63079,2151,2424,735,226,0,0,1,5.84,1
x,77513,5213,5571,759,192,1,0,8,5.62,1
linkedin,32708,8421,466,261,26,1,0,5,4.95,1
facebook,39385,9861,1797,2646,148,0,0,5,2.51,0
tiktok,49607,5191,2273,2233,41,1,0,1,3.64,0
linkedin,47276,5856,273,2105,17,0,0,8,3.42,1
linkedin,18242,3903,397,3162,211,0,0,3,4.76,1
tiktok,84242,4703,2054,3585,36,1,0,5,1.22,0
tiktok,45678,8185,750,3376,120,0,0,5,3.63,0
linkedin,188,1401,204,3226,105,1,0,0,4.19,0
other,70461,3941,1591,3328,274,1,0,8,4.51,1
other,74264,7158,2866,3583,105,1,0,1,4.44,0
tiktok,80659,4063,1820,2640,245,0,0,7,1.73,1
telegram,92476,0,3034,2632,170,0,0,3,4.08,0
linkedin,1488,8392,964,2847,81,0,0,8,1.79,1
x,44223,440,4428,1220,143,0,0,3,0.45,0
other,97095,8802,2672,3119,216,1,0,8,2.94,1
other,25333,3081,1459,198,31,0,0,0,5.04,1
linkedin,36693,3621,698,2972,159,1,0,9,3.6,1
facebook,40077,3176,3044,3072,275,1,0,4,1.39,0
linkedin,28363,1896,98,1357,235,0,0,4,0.9,0
telegram,22559,0,2273,2044,95,1,1,5,4.33,0
linkedin,13551,5280,324,3773,122,0,0,0,3.97,0
telegram,1454,0,833,2372,31,1,0,6,4.06,0
telegram,25530,0,1110,2077,143,0,0,9,4.22,1
other,79390,5709,3182,3220,144,1,0,7,1.08,1
facebook,58565,9953,1546,2629,174,0,0,8,5.01,1
linkedin,46556,8444,604,381,133,1,0,6,4.75,1
telegram,84553,0,2340,458,39,0,0,4,2.45,0
facebook,17671,1031,1891,224,271,0,0,6,2.05,0
other,75386,1310,4161,3853,284,1,0,6,2.86,0
other,35361,5423,3534,1606,68,1,0,6,2.74,0
telegram,46728,0,3287,2154,138,0,0,7,3.31,1
linkedin,27473,5043,552,426,50,0,0,9,4.93,1
instagram,20169,3026,4661,480,112,0,0,5,0.29,0
tiktok,29203,763,2342,126,257,0,0,0,4.36,0
x,75312,1963,282,2057,86,0,0,8,2.9,1
facebook,94655,3336,4054,92,196,1,0,3,2.68,0
instagram,16167,7914,2205,3260,37,1,0,4,3.66,0
linkedin,3518,6918,861,1015,51,1,0,0,1.59,0
other,85447,2436,3826,432,155,0,0,1,1.66,0
x,60067,2583,9089,1408,74,0,0,4,5.83,1
facebook,62601,9630,1095,2414,195,1,0,6,4.71,1
telegram,34019,0,1933,3817,159,0,0,1,5.6,1
telegram,64186,0,2001,142,96,1,0,2,2.58,0
x,69224,7147,2884,2895,80,1,0,0,5.05,1
tiktok,16738,8412,2010,3504,17,1,0,6,1.29,0
other,75287,6344,4635,2336,137,0,0,6,5.58,1
x,47993,209,6962,2560,4,1,0,3,0.4,0
facebook,63690,8177,1106,1407,35,1,0,8,5.37,1
linkedin,29793,3894,566,1248,88,0,0,7,4.01,1
tiktok,25920,830,2313,909,145,0,0,6,3.38,0
tiktok,90201,9275,1063,1202,19,1,0,5,0.16,0
telegram,6408,0,1399,442,257,1,0,0,2.77,0
linkedin,36973,8752,658,2473,75,1,1,2,1.13,0
x,19163,941,4450,3185,153,1,1,4,4.07,0
facebook,1049,2590,2785,1157,289,0,0,3,4,0
instagram,96099,5614,435,3510,133,0,0,3,3.24,0
linkedin,29874,1554,702,1272,45,0,0,4,2.07,0
instagram,94727,6020,2103,2617,90,0,0,3,5.91,1
facebook,99500,8663,2917,1662,55,0,0,7,4.22,1
telegram,79741,0,434,1778,8,1,0,2,2.8,0
telegram,83106,0,3678,1435,214,0,0,7,0.73,1
tiktok,49853,9457,2944,1012,275,1,0,2,3.1,0
tiktok,57378,6189,625,1921,91,1,1,3,2.01,0
linkedin,31602,7143,804,3127,178,0,0,4,0.8,0
other,51040,9821,848,980,232,1,0,3,2.14,0
instagram,65548,716,3964,3291,19,1,0,4,4.95,1
x,19768,9143,7925,3088,195,1,0,7,2.76,1
facebook,21038,8949,555,257,65,0,0,9,3.72,1
tiktok,11595,4507,886,1663,241,1,0,0,4.17,0
instagram,84335,2936,3309,2020,124,0,0,0,5.07,1
instagram,99449,5301,345,3464,86,0,0,0,0.5,0
x,10510,6077,198,1304,268,0,0,2,2.42,0
facebook,63248,8126,2622,212,57,1,0,0,2.72,0
x,6533,2796,6898,2089,219,0,0,1,2.74,0
tiktok,71765,9608,926,2836,76,1,0,3,4.06,0
linkedin,17100,6555,127,1623,73,1,0,1,0.44,0
telegram,31746,0,3915,419,8,1,1,2,3.67,0
instagram,44552,5289,2078,3414,201,1,0,6,1.31,0
linkedin,27887,6998,919,1269,58,1,0,3,2.82,0
other,44990,8764,1018,1625,234,0,0,2,5.04,1
tiktok,20595,4935,1233,1545,251,0,0,5,1,0
x,78233,60,9054,3668,281,0,0,3,2.58,0
other,27785,137,3162,2416,274,0,0,2,2.66,0
tiktok,34248,4488,2959,81,87,1,0,7,3.16,1
telegram,66062,0,2589,1009,57,0,0,1,0.23,0
instagram,85820,3756,3468,2632,175,1,0,3,1.72,0
x,55311,5567,4591,3527,295,0,0,8,5.98,1
x,50374,929,6703,1654,135,0,0,3,5.77,1
other,33649,6773,749,2031,293,1,0,3,0.37,0
x,82238,1054,457,2602,241,0,0,7,2.84,1
x,83108,3213,3442,603,220,1,0,5,3.98,0
linkedin,38492,6002,639,1807,93,1,0,7,0.55,1
linkedin,33357,240,111,2051,123,1,0,4,1.55,0
other,43822,2439,1363,1346,82,1,0,4,4.32,0
instagram,69035,4435,3996,30,94,1,0,3,4.82,1
facebook,75577,9173,1274,3682,256,0,0,8,3.56,1
instagram,81686,6747,4876,3960,21,0,0,5,3.73,0
other,38598,4530,2353,2943,127,1,0,1,2.04,0
tiktok,99714,6170,2063,329,252,1,0,7,2.27,1
linkedin,16604,2021,571,1738,121,0,0,9,1.41,1
tiktok,9616,5239,2719,295,164,0,0,8,0.54,1
other,35109,1256,1182,3624,69,0,0,3,2.11,0
facebook,66198,5093,4094,1406,122,0,0,4,3.98,0
instagram,53276,265,1737,3684,115,1,0,1,5.28,1
other,9228,2324,2903,121,284,0,0,6,3.58,0
telegram,75432,0,1283,2224,137,1,0,1,1.24,0
facebook,89402,9439,4027,797,57,1,0,7,1.79,1
other,23147,2003,1268,3172,265,1,0,8,5.56,1
x,69157,9180,2235,3,246,0,0,1,2.78,0
