platform,followers,following,posts,account_age_days,bio_length,profile_pic,verified,external_links,activity_rate,is_fake
facebook,1360,1344,3822,1224,132,1,0,0,3.67,0
instagram,1269,393,2483,1395,89,1,0,1,4.6,0
instagram,169,2247,27,16,14,1,0,0,1.08,1
tiktok,4390,696,2938,346,47,1,1,2,3.39,0
twitter,23983,1528,2606,955,76,1,0,0,7.68,0
linkedin,476,4998,17,26,43,1,0,2,1.85,1
tiktok,56091,1798,387,1058,82,1,1,1,3.12,0
facebook,64,2768,23,1,0,0,0,0,1.45,1
tiktok,260,3761,38,58,40,1,0,1,0.28,1
facebook,359,2973,26,35,0,1,0,4,1.47,1
tiktok,14,1684,31,39,0,0,0,5,0.57,1
instagram,28,1259,12,32,0,0,0,5,1.64,1
instagram,95503,1101,3677,1543,59,1,0,0,3.88,0
instagram,67342,682,2725,1152,134,1,0,1,5.11,0
linkedin,66699,1900,3495,1875,125,1,0,0,2.91,0
tiktok,89974,1186,1686,1828,85,0,0,1,0.99,0
instagram,56180,1476,1757,909,61,1,0,0,4.01,0
tiktok,279,3131,33,6,21,0,0,4,0.71,1
twitter,251,1569,2,19,19,0,0,2,0.83,1
twitter,266,4261,41,35,6,1,0,2,1.11,1
facebook,253,3923,4,37,31,0,0,1,1.48,1
instagram,53,3391,32,24,10,1,0,2,1.2,1
instagram,348,3161,45,18,1,1,0,0,1.45,1
tiktok,87331,1989,1577,1595,36,1,0,1,5.33,0
facebook,6395,1356,275,1480,59,1,0,2,2.69,0
tiktok,191,3320,16,44,27,0,0,4,1.52,1
facebook,496,501,30,35,0,0,0,0,0.61,1
facebook,35084,1808,619,1526,133,1,0,1,3.91,0
twitter,45517,834,3225,1596,72,1,0,0,4.49,0
linkedin,12,3150,35,45,19,1,0,3,1.79,1
instagram,287,2974,21,51,0,1,0,4,1.73,1
tiktok,53506,1127,2541,792,126,1,0,3,4.84,0
twitter,32593,96,4414,549,135,1,0,0,4.67,0
instagram,8808,1903,2888,1330,38,1,0,2,4.7,0
instagram,372,3543,38,5,21,0,0,2,0.4,1
tiktok,9935,1142,3168,1188,123,1,0,0,1.43,0
twitter,63252,1327,1807,536,52,0,1,2,2.98,0
linkedin,441,1831,0,56,4,1,0,5,1.89,1
linkedin,474,1051,23,12,49,0,0,4,1.66,1
twitter,38804,1241,3963,1246,73,1,0,0,0.87,0
twitter,336,4385,7,29,25,0,0,0,1.04,1
facebook,492,3346,28,56,35,1,0,2,0.9,1
tiktok,495,1771,17,49,38,1,0,2,0.55,1
instagram,354,4152,19,48,0,1,0,1,0.12,1
facebook,264,2702,27,14,30,0,0,2,0.95,1
twitter,435,3138,20,36,22,0,0,5,1.95,1
tiktok,38602,782,4380,837,140,1,0,1,1.46,0
linkedin,63356,995,2731,1397,34,1,0,1,8.7,0
facebook,40762,266,1374,1335,65,1,0,1,5.8,0
instagram,94214,88,3572,352,42,1,0,1,7.79,0
tiktok,386,2196,27,57,0,0,0,1,1.62,1
instagram,316,4375,20,11,0,1,0,0,0.42,1
linkedin,414,3784,2,16,0,0,0,5,1.79,1
facebook,30203,1195,4235,1851,87,1,0,0,2.97,0
tiktok,144,2708,27,48,0,0,0,5,0.89,1
instagram,449,209,29,50,0,0,0,3,1.01,1
tiktok,24333,112,3975,1006,56,1,0,0,1.77,0
twitter,29689,525,2050,888,124,1,1,1,7.4,0
twitter,144,2248,44,13,0,1,0,2,0.78,1
instagram,62377,167,820,1509,41,1,1,0,8.02,0
twitter,20258,968,3328,1432,114,1,0,2,6.36,0
linkedin,55893,1923,1408,1038,80,1,0,1,7.94,0
tiktok,52829,1636,2178,312,58,1,1,0,2.95,0
facebook,52,4500,42,43,0,0,0,1,1.21,1
tiktok,24571,949,4505,1079,85,1,0,1,9.74,0
twitter,24454,1862,4749,861,90,0,0,1,3.88,0
twitter,92365,1886,2346,226,115,1,0,2,1.08,0
twitter,7,4920,34,52,14,1,0,0,1.54,1
instagram,13,1846,22,46,42,0,0,1,1.11,1
linkedin,27,913,38,57,0,0,0,0,1.79,1
instagram,8061,116,282,288,47,1,0,1,7.58,0
instagram,41,2672,36,6,25,0,0,1,0.73,1
instagram,27785,326,1783,1785,148,1,0,0,8.16,0
